Class ID,Room ID,Day,Start Time,Duration (min),Weeks Active,Penalty,Proper Time
1,18,Monday,16:00,230,15,0,3 hr 50 min
2,22,Monday,17:00,110,12,0,1 hr 50 min
3,30,Monday,16:00,170,15,0,2 hr 50 min
4,29,Wednesday,17:00,170,15,0,2 hr 50 min
5,23,Wednesday,16:00,230,15,0,3 hr 50 min
6,12,Monday,13:00,170,12,0,2 hr 50 min
7,13,Monday,09:00,110,15,0,1 hr 50 min
8,6,Tuesday,14:00,230,15,0,3 hr 50 min
9,21,Tuesday,14:00,170,15,0,2 hr 50 min
10,19,Monday,13:00,110,15,0,1 hr 50 min
11,18,Wednesday,12:00,230,12,0,3 hr 50 min
12,31,Monday,15:00,230,12,0,3 hr 50 min
13,29,Wednesday,16:00,170,12,0,2 hr 50 min
14,21,Tuesday,16:00,230,15,0,3 hr 50 min
15,23,Tuesday,11:00,170,15,0,2 hr 50 min
16,8,Tuesday,16:00,230,12,0,3 hr 50 min
17,33,Monday,17:00,110,15,0,1 hr 50 min
18,3,Wednesday,14:00,170,12,0,2 hr 50 min
19,8,Tuesday,13:00,170,15,0,2 hr 50 min
20,13,Monday,16:00,170,12,0,2 hr 50 min
21,22,Tuesday,16:00,110,12,0,1 hr 50 min
22,12,Monday,11:00,170,15,0,2 hr 50 min
23,4,Tuesday,17:00,170,12,0,2 hr 50 min
24,23,Wednesday,16:00,230,15,0,3 hr 50 min
25,22,Monday,10:00,230,15,0,3 hr 50 min
26,9,Tuesday,13:00,110,15,0,1 hr 50 min
27,22,Tuesday,13:00,170,15,0,2 hr 50 min
28,23,Tuesday,08:00,170,15,0,2 hr 50 min
29,22,Tuesday,17:00,230,15,0,3 hr 50 min
30,21,Monday,10:00,170,12,0,2 hr 50 min
31,17,Wednesday,10:00,110,15,0,1 hr 50 min
32,16,Monday,11:00,110,12,0,1 hr 50 min
33,12,Tuesday,08:00,230,12,0,3 hr 50 min
34,8,Tuesday,09:00,110,12,0,1 hr 50 min
35,16,Tuesday,08:00,230,12,0,3 hr 50 min
36,30,Monday,10:00,230,15,0,3 hr 50 min
37,21,Monday,11:00,230,15,0,3 hr 50 min
38,27,Monday,08:00,230,12,0,3 hr 50 min
39,27,Monday,10:00,110,15,0,1 hr 50 min
40,13,Wednesday,14:00,170,12,0,2 hr 50 min
41,8,Wednesday,08:00,230,15,0,3 hr 50 min
42,22,Tuesday,15:00,230,12,0,3 hr 50 min
43,30,Wednesday,09:00,230,15,0,3 hr 50 min
44,2,Wednesday,11:00,230,12,0,3 hr 50 min
45,3,Wednesday,12:00,230,12,0,3 hr 50 min
46,3,Monday,17:00,230,15,0,3 hr 50 min
47,12,Monday,13:00,110,15,0,1 hr 50 min
48,15,Monday,14:00,110,15,0,1 hr 50 min
49,15,Monday,12:00,110,12,0,1 hr 50 min
50,12,Tuesday,11:00,170,12,0,2 hr 50 min
51,22,Monday,11:00,170,12,0,2 hr 50 min
52,16,Monday,10:00,170,15,0,2 hr 50 min
53,27,Wednesday,13:00,110,12,0,1 hr 50 min
54,13,Monday,13:00,230,15,0,3 hr 50 min
55,22,Wednesday,11:00,110,15,0,1 hr 50 min
56,17,Wednesday,11:00,170,12,0,2 hr 50 min
57,21,Wednesday,09:00,110,15,0,1 hr 50 min
58,21,Monday,13:00,230,12,0,3 hr 50 min
59,25,Tuesday,08:00,110,12,0,1 hr 50 min
60,16,Wednesday,10:00,230,12,0,3 hr 50 min
61,13,Wednesday,11:00,110,15,0,1 hr 50 min
62,3,Monday,14:00,170,12,0,2 hr 50 min
63,13,Wednesday,08:00,110,15,0,1 hr 50 min
64,7,Wednesday,14:00,230,15,0,3 hr 50 min
65,7,Wednesday,16:00,170,15,0,2 hr 50 min
66,3,Monday,12:00,110,12,0,1 hr 50 min
67,16,Monday,14:00,170,15,0,2 hr 50 min
68,22,Monday,13:00,170,12,0,2 hr 50 min
69,3,Monday,13:00,230,15,0,3 hr 50 min
70,13,Tuesday,13:00,230,12,0,3 hr 50 min
71,7,Monday,11:00,110,12,0,1 hr 50 min
72,17,Wednesday,15:00,230,15,0,3 hr 50 min
73,7,Monday,13:00,170,15,0,2 hr 50 min
74,23,Monday,16:00,230,15,0,3 hr 50 min
75,8,Monday,16:00,230,15,0,3 hr 50 min
76,3,Tuesday,14:00,110,12,0,1 hr 50 min
77,27,Tuesday,17:00,110,12,0,1 hr 50 min
78,27,Tuesday,15:00,170,12,0,2 hr 50 min
